,DMB006,MB002,MB511H,RCMB28,RCMB38,RCMB40,RCMB45,RCMB51
ENSG00000177757.2|FAM87B,3,4,8,67,3,3,3,4
ENSG00000225880.6|LINC00115,292,339,634,296,213,404,165,333
ENSG00000234711.1|TUBB8P11,2,5,6,3,4,3,4,6
ENSG00000078808.20|SDF4,2133,2965,3006,2693,1066,2252,808,1225
ENSG00000184163.3|C1QTNF12,16,9,37,13,0,6,0,4
ENSG00000260179.1|ENSG00000260179,17,7,3,11,9,5,6,8
ENSG00000176022.7|B3GALT6,904,1855,1841,1119,475,1119,318,832
ENSG00000224051.7|CPTP,774,185,465,528,326,337,26,241
ENSG00000162576.17|MXRA8,1197,137,1566,1610,64,511,9,21
ENSG00000107404.21|DVL1,3196,8086,10817,2587,1277,4868,1111,1707
ENSG00000169962.5|TAS1R3,50,8,0,23,55,11,18,3
ENSG00000284372.1|MIR6808,1,1,1,1,0,1,1,1
ENSG00000175756.14|AURKAIP1,1878,4335,3863,1195,652,2088,599,1112
ENSG00000223663.2|NDUFB4P8,1,0,0,2,3,0,0,0
ENSG00000160087.21|UBE2J2,1224,1511,1667,1169,551,1067,571,789
ENSG00000162572.21|SCNN1D,372,76,84,693,153,139,118,159
ENSG00000131584.19|ACAP3,5976,5477,10037,9590,6065,7638,3262,1582
ENSG00000169972.12|PUSL1,509,1007,1955,275,124,753,120,221
ENSG00000127054.22|INTS11,3245,3969,4742,3252,1429,2544,1039,1381
ENSG00000230415.1|LINC01786,53,10,33,66,16,18,17,24
ENSG00000278073.1|MIR6726,6,1,1,1,3,1,1,1
ENSG00000283712.1|MIR6727,1,1,1,1,1,1,0,1
ENSG00000240731.1|ENSG00000240731,105,38,57,71,55,25,22,29
ENSG00000221978.13|CCNL2,11451,7822,13671,9595,5341,8576,4134,5407
ENSG00000224870.9|MRPL20-AS1,707,766,1408,638,521,807,256,674
ENSG00000242485.6|MRPL20,1392,4135,3446,857,871,2028,592,1055
ENSG00000235098.9|ANKRD65,4,756,862,370,10,9,7,28
ENSG00000225905.1|ANKRD65-AS1,0,0,14,25,0,0,0,5
ENSG00000225285.1|LINC01770,0,7,26,11,3,0,0,19
ENSG00000179403.12|VWA1,10,105,548,1365,10,15,7,192
ENSG00000215915.10|ATAD3C,278,601,561,126,105,390,71,97
ENSG00000264293.2|RN7SL657P,1,1,1,1,1,1,1,1
ENSG00000272455.1|MRPL20-DT,127,106,299,60,44,132,50,108
ENSG00000205116.4|TMEM88B,0,0,8,19,4,0,4,2
ENSG00000274481.1|ENSG00000274481,0,0,0,0,1,0,1,1
ENSG00000160072.20|ATAD3B,2193,4623,3731,1079,667,2194,844,765
ENSG00000284740.3|ENSG00000284740,53,0,0,0,0,0,0,0
ENSG00000290916.1|ENSG00000290916,48,174,177,48,27,121,28,37
ENSG00000197785.14|ATAD3A,1901,4629,3649,809,775,2710,516,571
ENSG00000205090.9|TMEM240,215,0,335,148,136,142,74,37
ENSG00000215014.5|ENSG00000215014,102,111,86,130,36,48,15,71
ENSG00000160075.12|SSU72,3039,4764,6222,2133,1364,3683,1149,1975
ENSG00000197530.13|MIB2,3041,3627,2374,1776,1272,1690,805,986
ENSG00000228594.4|FNDC10,131,35,232,166,19,47,12,143
ENSG00000286989.1|ENSG00000286989,25,12,45,43,16,16,6,36
ENSG00000272106.1|ENSG00000272106,456,551,870,967,212,347,245,419
ENSG00000178821.13|TMEM52,28,102,296,7,3,13,0,67
ENSG00000169885.10|CALML6,8,14,6,9,15,6,0,6
ENSG00000233542.2|ENSG00000233542,3,0,0,126,15,0,0,80
ENSG00000187730.9|GABRD,24,7,3,1258,171,11,16,1847
ENSG00000142609.20|CFAP74,17,0,30,17,41,20,15,443
ENSG00000226969.1|PRKCZ-DT,0,0,0,0,0,0,0,0
ENSG00000067606.17|PRKCZ,11,7,185,1534,54,0,42,279
ENSG00000162585.17|FAAP20,819,1043,1163,587,400,656,264,401
ENSG00000234396.3|ENSG00000234396,4,0,0,0,0,0,0,0
ENSG00000271806.1|ENSG00000271806,4,1,1,8,8,3,8,11
ENSG00000182873.5|PRKCZ-AS1,22,0,18,33,27,3,7,20
ENSG00000157933.11|SKI,2765,1419,2168,3174,935,1419,830,572
ENSG00000189409.14|MMP23B,26,240,41,31,8,80,15,12
ENSG00000248333.9|CDK11B,1361,1304,1756,780,949,1059,598,647
ENSG00000215914.4|MMP23A,23,149,30,23,0,62,0,0
ENSG00000008128.23|CDK11A,1532,661,1565,827,737,760,610,367
ENSG00000227775.3|ENSG00000227775,73,13,50,56,30,4,101,20
ENSG00000290854.1|ENSG00000290854,2503,779,1438,1576,757,1105,566,184
ENSG00000215790.9|SLC35E2A,12,0,16,173,0,16,0,170
ENSG00000008130.15|NADK,1698,2566,3164,1086,831,2062,701,883
ENSG00000078369.19|GNB1,11675,12967,20120,13838,8735,15475,8134,7648
ENSG00000231050.3|GNB1-DT,46,20,41,54,24,18,13,23
ENSG00000272004.1|ENSG00000272004,6,30,11,4,3,2,3,3
ENSG00000189339.12|SLC35E2B,9639,3446,5664,6940,3705,5019,2983,2337
ENSG00000269737.2|ENSG00000269737,8,5,9,6,13,4,6,13
ENSG00000268575.1|ENSG00000268575,0,1087,0,0,571,880,0,595
ENSG00000197921.6|HES5,0,0,16,5,0,2,7,0
ENSG00000272449.3|ENSG00000272449,0,5,2,4,4,0,5,7
ENSG00000228037.1|ENSG00000228037,0,0,0,0,3,0,2,0
ENSG00000238164.6|TNFRSF14-AS1,1,0,2,2,6,3,9,8
ENSG00000157873.18|TNFRSF14,43,0,11,53,86,12,71,190
ENSG00000225931.3|ENSG00000225931,0,0,0,0,3,0,4,2
ENSG00000287356.1|ENSG00000287356,26,14,12,13,17,13,17,42
ENSG00000116151.14|MORN1,1015,604,562,633,208,321,213,554
ENSG00000157916.20|RER1,3245,2993,3557,2167,1397,2713,1201,1881
ENSG00000157911.11|PEX10,1301,1136,1762,691,569,829,370,521
ENSG00000272161.1|ENSG00000272161,7,0,0,5,2,0,0,2
ENSG00000269896.2|ENSG00000269896,147,199,86,170,98,36,41,241
ENSG00000272420.1|ENSG00000272420,34,47,20,36,13,7,8,17
ENSG00000157870.17|PRXL2B,168,685,426,228,157,433,82,344
ENSG00000142606.16|MMEL1,0,0,0,4,2,0,0,9
ENSG00000289610.2|ENSG00000289610,1,4,2,1,0,4,0,3
ENSG00000237058.1|MMEL1-AS1,0,0,0,0,0,0,0,0
ENSG00000287396.1|ENSG00000287396,0,0,5,0,0,0,1,0
ENSG00000231630.1|ENSG00000231630,0,0,0,0,0,0,0,0
ENSG00000149527.18|PLCH2,23,7413,6726,3922,687,4247,8102,2530
ENSG00000224387.1|ENSG00000224387,0,0,0,0,0,0,0,0
ENSG00000157881.16|PANK4,500,515,715,371,313,369,268,391
ENSG00000229393.1|ENSG00000229393,0,0,0,0,0,0,2,0
ENSG00000215912.13|TTC34,35,8,27,67,55,10,16,46
ENSG00000285945.1|ENSG00000285945,0,0,0,0,0,0,0,0
ENSG00000283259.1|ENSG00000283259,0,0,0,0,0,0,0,0
ENSG00000284745.1|ENSG00000284745,0,0,0,0,7,0,2,0
ENSG00000169717.7|ACTRT2,0,0,0,0,2,0,3,1
ENSG00000272088.1|ENSG00000272088,0,0,0,1,4,0,0,0
ENSG00000130762.15|ARHGEF16,0,0,0,25,2,0,5,0
ENSG00000238260.3|ENSG00000238260,12,7,24,29,23,18,23,35
ENSG00000177133.14|PRDM16-DT,0,0,0,8,8,2,4,9
ENSG00000142611.17|PRDM16,1,3,1,15,30,5,11,10
ENSG00000226286.1|ENSG00000226286,0,0,0,0,0,0,0,0
ENSG00000283572.1|MIR4251,0,0,0,0,0,0,0,0
ENSG00000279839.1|ENSG00000279839,1,1,0,1,2,1,3,4
ENSG00000272235.1|ENSG00000272235,0,0,0,0,3,0,10,5
ENSG00000287828.1|ENSG00000287828,0,0,0,0,0,0,0,0
ENSG00000286518.1|ENSG00000286518,0,0,0,0,7,0,1,3
ENSG00000162591.17|MEGF6,78,348,757,1280,1124,45,435,53
ENSG00000207776.1|MIR551A,0,0,0,1,3,0,0,0
