,BT084,DMB006,DMB012,MB002,MB511H,MED1712FH,RCMB28,RCMB32,RCMB38,RCMB40,RCMB45,RCMB51
ENSG00000254131.1,0,0,0,0,0,0,3,0,0,0,2,0
ENSG00000118972.1,38,0,9,0,0,0,0,39,9,0,14,25
ENSG00000264104.1,17,0,0,0,0,0,0,16,9,0,0,15
ENSG00000179833.4,1241,617,1441,3936,1644,2235,1612,1148,1003,598,628,910
ENSG00000165312.6,543,397,309,396,886,1055,1324,269,333,526,717,438
ENSG00000159618.15,3,62,0,0,0,0,28,45,11,0,6,3
ENSG00000064225.12,697,951,295,814,678,1053,383,447,255,319,244,154
ENSG00000226530.1,65,7,0,43,6,57,75,38,0,15,6,0
ENSG00000252628.2,4,0,0,0,0,0,0,0,2,0,3,1
ENSG00000134709.10,89,3974,0,2712,2191,450,367,121,1448,215,446,742
ENSG00000057294.14,166,196,4,1675,10,8,26,91,38,37,72,40
ENSG00000213988.10,301,592,292,819,341,1926,309,306,210,611,107,587
ENSG00000171861.10,452,492,276,1219,1564,2216,766,295,358,684,335,417
ENSG00000278923.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167768.4,26,0,0,0,0,0,19,87,12,0,8,31
ENSG00000280159.1,43,5,5,0,3,1,23,27,8,6,15,10
ENSG00000235240.1,0,0,0,0,2,0,0,0,0,0,0,2
ENSG00000273406.1,5,1,0,0,0,1,2,15,6,0,5,12
ENSG00000199903.1,0,0,0,0,0,0,0,1,5,1,2,7
ENSG00000200058.1,0,0,0,0,0,0,0,4,1,0,0,0
ENSG00000177981.10,991,1718,752,1775,2325,2512,1376,726,1391,1403,1029,1769
ENSG00000275358.1,2,0,0,0,0,0,0,7,0,0,1,0
ENSG00000279936.1,4,12,11,7,0,0,0,27,9,0,5,13
ENSG00000269349.1,0,0,0,0,0,0,0,0,3,0,0,2
ENSG00000200291.1,4,5,35,13,12,26,16,11,7,18,13,15
ENSG00000233614.6,0,0,0,0,0,0,0,16,0,6,4,0
ENSG00000259659.1,41,74,19,45,74,58,30,33,28,52,38,40
ENSG00000278933.1,9,0,0,0,0,0,0,19,0,0,3,3
ENSG00000202175.1,0,0,0,0,1,0,3,0,0,0,1,0
ENSG00000120662.15,800,549,336,944,1031,1258,583,511,310,731,254,458
ENSG00000215274.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235523.1,0,0,0,0,0,0,0,4,0,0,0,0
ENSG00000249848.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277826.1,1,9,3,3,3,1,10,2,8,2,6,3
ENSG00000230225.1,11,19,20,6,0,24,10,1,22,1,21,4
ENSG00000239877.2,0,0,0,3,0,0,0,21,0,0,0,6
ENSG00000201398.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272905.1,32,53,62,6,11,27,58,55,53,18,34,24
ENSG00000259952.1,5,37,6,28,19,47,29,0,7,24,8,4
ENSG00000260812.1,3,0,0,0,0,3,0,7,1,3,8,0
ENSG00000225630.1,979,1181,241,1084,1387,503,859,649,534,974,259,929
ENSG00000230231.1,0,0,0,0,0,0,0,0,0,0,0,3
ENSG00000164283.12,19,0,8,40,13,107,6,72,7,0,25,22
ENSG00000227489.1,0,0,0,0,0,0,0,8,0,0,0,6
ENSG00000254555.1,0,0,0,0,0,4,3,0,0,0,2,7
ENSG00000013392.7,257,561,205,526,881,1325,461,271,521,748,365,1026
ENSG00000226688.6,727,1112,444,1428,1091,1187,930,453,562,1136,392,716
ENSG00000250929.2,0,0,0,0,0,0,0,0,0,0,0,5
ENSG00000204581.2,35,0,19,5,0,44,43,33,17,23,14,11
ENSG00000244265.1,8,10,0,0,34,43,9,0,0,22,0,0
ENSG00000271771.1,2,1,0,0,0,0,0,14,0,0,5,2
ENSG00000235004.1,2,0,0,0,0,0,0,1,0,0,0,1
ENSG00000166913.12,2326,3200,5609,3098,4942,18333,3259,4620,1865,3031,5828,3204
ENSG00000206260.3,0,0,0,0,0,0,0,0,3,0,0,0
ENSG00000237786.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272911.1,0,11,19,0,2,13,13,0,0,4,6,2
ENSG00000164112.12,23,33,0,49,0,309,0,0,42,0,152,55
ENSG00000283842.1,1,1,1,1,1,1,1,3,1,1,1,1
ENSG00000130204.12,2879,1950,887,6844,6554,5626,1479,888,1284,3017,1025,2630
ENSG00000283555.1,0,3,0,0,0,1,0,0,0,0,0,0
ENSG00000199047.3,0,0,4,1,0,0,1,0,3,0,3,3
ENSG00000280387.1,18,14,0,14,19,4,26,12,6,16,21,7
ENSG00000189099.11,6,2,0,0,0,2,0,11,5,0,7,7
ENSG00000232879.2,0,0,0,0,0,0,0,2,0,0,2,0
ENSG00000265897.2,3,143,0,0,0,0,2,0,47,0,7,1
ENSG00000111863.12,46,0,3,0,0,0,0,90,32,5,31,38
ENSG00000240583.11,712,27,9,68,331,159,60,51,49,70,38,136
ENSG00000109618.11,2192,1502,944,2306,3488,3424,1788,1123,1377,1605,654,1555
ENSG00000214866.8,3,0,0,0,0,0,0,5,0,0,0,2
ENSG00000279345.1,5,0,0,3,0,0,1,16,8,0,10,0
ENSG00000259916.1,0,0,0,0,0,0,0,5,5,0,0,0
ENSG00000153015.15,1868,1472,975,3385,4430,3249,1417,1276,1189,2338,962,2624
ENSG00000260549.1,0,0,0,0,0,27,0,6,0,0,0,0
ENSG00000202290.1,0,0,0,2,0,0,0,1,0,0,0,1
ENSG00000207559.1,10,29,7,22,19,30,21,22,64,11,16,12
ENSG00000254578.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240710.1,5,0,0,12,0,0,0,2,0,0,0,19
ENSG00000268889.1,4,6,5,0,0,0,14,0,0,0,14,7
ENSG00000268234.1,41,20,31,40,49,23,8,19,21,23,21,32
ENSG00000241244.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254678.1,3,5,3,28,61,18,24,8,0,7,2,12
ENSG00000257246.1,58,80,63,1,24,20,115,63,39,16,26,33
ENSG00000270469.1,2,6,0,2,3,0,4,4,4,2,10,5
ENSG00000207698.1,1,4,2,7,0,0,2,0,0,0,2,0
ENSG00000250885.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273797.1,24,148,11,102,23,44,64,44,71,40,64,47
