,BT084,DMB006,DMB012,MB002,MB511H,MED1712FH,RCMB28,RCMB32,RCMB38,RCMB40,RCMB45,RCMB51
ENSG00000167964.12,161,171,233,764,1536,1332,530,24,22,792,422,125
ENSG00000235730.2,3,0,3,2,0,0,0,0,8,0,7,14
ENSG00000203601.3,0,0,0,3,0,5,0,4,0,0,0,0
ENSG00000156574.9,7,4,13,0,0,9,0,4,3,0,0,0
ENSG00000184560.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251898.1,19,121,54,104,194,220,44,39,82,104,58,203
ENSG00000256172.1,0,0,0,0,0,0,0,4,0,0,0,7
ENSG00000200231.1,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000170955.9,0,9,5,0,0,11,21,10,0,6,0,0
ENSG00000227475.1,0,10,0,0,0,0,0,0,0,0,0,0
ENSG00000239544.1,0,5,5,0,9,3,0,5,1,0,0,11
ENSG00000226160.1,19,9,5,26,31,19,5,8,9,19,10,15
ENSG00000226790.3,42,7,15,15,14,15,16,101,38,17,35,83
ENSG00000169213.6,526,604,472,19,54,319,118,898,310,102,84,469
ENSG00000284586.1,0,1,0,1,1,1,0,0,0,0,0,0
ENSG00000266780.1,15,14,12,13,19,14,17,11,10,11,11,13
ENSG00000201274.1,2,0,0,0,0,0,0,3,0,0,0,0
ENSG00000234640.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232805.1,2,0,0,0,0,0,0,2,2,0,2,0
ENSG00000237705.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000248405.10,10,0,2,21,7,9,4,7,20,0,0,3
ENSG00000205916.11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226535.1,2,13,10,23,10,12,7,10,6,6,3,5
ENSG00000179082.3,6,110,0,0,28,0,58,19,52,25,25,51
ENSG00000164113.10,11,0,0,5,0,0,0,8,2,3,0,5
ENSG00000272692.1,19,53,61,13,7,16,30,58,3,18,3,11
ENSG00000266758.1,2,3,2,9,2,1,1,2,1,1,1,2
ENSG00000267444.1,4,0,0,0,0,0,9,5,3,0,2,5
ENSG00000283298.1,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000232560.6,0,0,0,0,0,0,0,8,0,0,0,0
ENSG00000256678.1,10,0,0,2,0,0,0,22,0,0,0,13
ENSG00000259126.1,4,0,0,0,0,0,0,0,0,0,0,15
ENSG00000078589.12,0,0,0,0,0,0,3,5,0,0,11,0
ENSG00000223820.5,3,44,4,37,78,73,9,4,18,35,21,7
ENSG00000188937.5,8,0,0,0,0,0,0,32,7,0,11,12
ENSG00000066279.17,11824,16039,4117,14714,16345,21266,7767,8253,14647,13467,12387,12831
ENSG00000277900.1,2,2,3,0,0,2,1,1,1,0,1,6
ENSG00000145241.10,4212,4584,1663,3989,4284,6402,3732,2413,3392,3336,2063,3413
ENSG00000278273.1,0,0,11,0,0,0,0,4,0,0,165,0
ENSG00000265010.1,4,17,5,19,21,17,16,11,18,16,12,36
ENSG00000236008.1,28,0,15,4,0,0,5,153,16,9,33,48
ENSG00000130876.11,0,0,0,0,0,0,0,7,8,0,10,4
ENSG00000265800.1,34,70,54,91,27,33,42,26,63,80,12,18
ENSG00000162722.8,11,65,0,5,1499,0,34,142,379,409,116,4337
ENSG00000134070.4,11,10,58,13,5,122,61,46,125,13,62,58
ENSG00000124783.12,6615,6694,3379,10305,10950,18149,6635,3864,7505,12996,4543,6037
ENSG00000225127.2,99,0,0,0,0,174,34,12,5,0,7,3
ENSG00000227018.1,17,6,5,10,10,51,15,17,14,11,16,6
ENSG00000089199.9,2021,7738,2181,8209,8692,6178,7485,5088,19517,9349,39338,31946
ENSG00000237205.1,9,0,0,0,2,0,0,13,5,0,3,0
ENSG00000255021.1,5,0,0,0,0,9,0,6,0,0,0,17
ENSG00000231551.8,12,144,2,2,0,1,108,51,12,3,2,115
ENSG00000278600.1,398,802,459,462,1011,658,453,244,337,411,249,555
ENSG00000258423.1,3,0,1,0,0,1,1,3,1,0,3,6
ENSG00000251209.7,7,5,0,0,0,379,0,32,5,10,15,25
ENSG00000266180.1,1,0,0,0,0,0,0,2,0,0,0,0
ENSG00000056487.15,2137,3966,2579,6499,3968,3514,2875,1900,3188,3394,2664,4082
ENSG00000266501.1,45,49,37,117,105,85,61,9,40,22,21,72
ENSG00000201157.1,0,0,0,0,0,0,0,1,0,0,0,2
ENSG00000228953.1,0,0,0,0,0,2,0,2,0,0,0,0
ENSG00000111802.13,1356,1179,889,1382,2251,4206,1439,1117,1531,1095,693,1807
ENSG00000275158.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201435.1,10,94,12,7,7,5,17,24,31,17,9,10
ENSG00000258861.1,2,16,0,2,0,9,21,30,3,5,13,0
ENSG00000265777.2,0,0,0,0,0,0,0,7,0,1,1,0
ENSG00000253980.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000242925.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277136.1,0,0,0,0,0,1,0,4,1,0,3,0
ENSG00000236195.1,0,0,3,0,0,0,0,4,9,0,3,0
ENSG00000207185.1,3,3,3,0,9,12,7,6,4,0,4,7
ENSG00000228430.9,33,10,13,12,8,48,51,29,106,14,24,67
ENSG00000238777.1,0,0,0,0,0,0,0,0,5,0,0,0
ENSG00000124103.8,4,19,9,41,10,4,3,8,2,3,6,17
ENSG00000251722.1,0,1,3,2,2,2,3,5,2,2,4,2
ENSG00000253792.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254673.1,0,0,0,0,0,0,0,0,0,14,0,0
ENSG00000147044.21,3789,6783,7281,4978,5467,11808,7505,6553,4188,4645,4440,6489
ENSG00000249478.1,8,0,0,0,0,0,0,15,0,0,6,11
ENSG00000236919.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000263189.1,8,7,9,3,2,1,0,11,4,2,12,16
ENSG00000228943.1,0,0,0,0,0,0,0,0,3,0,0,0
ENSG00000277324.1,11,21,6,53,39,37,43,40,33,10,15,22
ENSG00000125631.7,0,0,0,0,0,0,0,16,5,0,17,5
ENSG00000265372.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000249333.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251553.1,10,9,4,22,12,15,9,36,6,6,12,31
ENSG00000179397.17,105,96,56,78,54,70,72,24,53,20,60,141
ENSG00000265618.1,0,0,0,0,0,0,0,0,0,0,3,0
ENSG00000243725.6,2013,1336,999,2792,3504,3477,1036,861,1067,1815,887,1029
ENSG00000233040.2,28,23,33,70,23,16,28,47,19,22,57,38
ENSG00000236032.3,47,0,0,0,0,0,3,96,17,11,1,3
ENSG00000232891.1,5,0,0,0,0,0,0,12,0,0,0,0
ENSG00000230042.1,154,209,145,87,72,135,93,150,351,131,83,259
ENSG00000235379.1,0,0,0,0,0,0,0,2,2,3,4,2
ENSG00000199470.1,0,0,0,0,0,0,0,0,0,3,0,0
ENSG00000281692.1,0,0,0,0,0,0,0,19,0,0,5,0
ENSG00000221697.1,0,0,0,0,0,0,6,2,0,0,0,3
ENSG00000233044.1,0,0,0,0,0,0,0,0,0,0,3,2
ENSG00000250088.1,2,0,1,0,0,1,0,8,4,1,3,4
ENSG00000228665.2,29,5,8,43,126,38,19,39,6,29,17,32
ENSG00000248532.2,0,1,0,1,0,1,2,1,2,0,1,3
ENSG00000255833.1,0,0,5,0,0,0,5,0,0,0,9,0
ENSG00000259750.1,2,2,5,8,18,3,5,27,7,7,8,27
ENSG00000231604.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000219163.2,32,8,2,11,13,9,7,34,12,7,11,34
ENSG00000271115.1,6,0,0,0,0,0,0,3,2,0,7,5
ENSG00000184155.8,0,0,0,0,0,0,6,10,0,0,0,3
ENSG00000199460.2,0,0,0,2,0,4,0,1,0,0,1,0
ENSG00000212451.1,0,0,2,0,0,0,0,4,0,0,0,2
ENSG00000164117.13,989,643,587,1249,2301,1740,766,521,670,1262,666,1237
ENSG00000106304.15,14,0,0,0,0,0,0,31,3,5,8,29
ENSG00000236069.2,0,0,0,0,0,0,3,8,0,0,0,18
ENSG00000232885.1,0,0,0,0,0,0,0,0,3,0,3,8
ENSG00000206658.1,0,0,0,0,0,0,2,1,0,0,5,1
ENSG00000273558.1,2,0,2,1,1,0,1,15,2,0,4,3
ENSG00000255823.4,82,111,21,14,94,53,16,28,26,11,25,39
ENSG00000278615.4,747,375,525,2060,771,3000,262,327,374,505,607,360
ENSG00000259363.5,23,102,10,42,29,212,76,37,6,7,8,19
ENSG00000026103.21,72,53,48,26,27,1992,122,62,16,3,44,12
ENSG00000272215.1,13,3,7,6,2,4,13,2,5,3,3,3
ENSG00000267201.1,0,29,0,0,0,0,0,0,0,0,0,0
ENSG00000251027.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183605.16,698,1086,512,4485,4738,1735,711,355,166,2566,416,789
ENSG00000106952.7,10,0,0,0,0,0,39,13,4,0,8,4
ENSG00000139908.14,4,3,4,2,2,2,5,12,4,2,7,13
ENSG00000075340.22,5107,13215,8372,2032,9267,13414,11869,5825,7779,11880,4678,4160
ENSG00000206075.13,5,0,0,0,0,0,0,8,12,0,12,9
ENSG00000271101.1,12,0,0,0,0,74,0,22,7,0,11,7
ENSG00000234426.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000010030.13,0,0,3,0,0,3,0,23,0,0,5,8
ENSG00000284179.1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000236365.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233473.2,8,61,4,3,14,83,66,59,70,7,22,15
ENSG00000201145.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255437.1,3,5,5,8,7,5,6,3,3,19,2,11
ENSG00000108439.10,767,445,180,796,1051,568,332,189,572,652,155,428
ENSG00000236892.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284465.1,7,1,0,0,0,0,1,7,3,1,1,3
ENSG00000156298.12,5939,1279,3677,2247,2551,13340,5516,1812,799,2473,1224,480
ENSG00000144524.17,1233,1218,764,1600,1790,2040,977,895,498,742,557,1108
ENSG00000232518.3,0,8,2,0,7,0,5,7,3,0,0,5
ENSG00000239190.1,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000252971.1,1,6,1,0,0,3,2,1,5,0,0,0
ENSG00000253421.1,2,0,0,0,0,0,0,0,3,0,0,3
ENSG00000206970.1,1,0,0,0,0,0,0,0,1,0,0,2
ENSG00000070785.16,2108,2075,831,6060,9848,3596,1349,641,1522,4111,1317,1820
ENSG00000228888.1,0,0,0,0,0,0,0,9,0,0,0,0
ENSG00000278455.1,4,0,1,0,2,0,0,7,2,0,3,3
ENSG00000269110.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227942.1,8,9,4,12,22,33,3,6,8,2,3,2
ENSG00000222012.1,8,0,0,0,0,7,41,33,19,0,6,11
ENSG00000020256.19,1534,1261,692,1235,1703,2101,1290,805,676,1029,422,793
ENSG00000220157.4,456,277,257,1621,1666,949,461,424,150,980,256,436
ENSG00000204860.4,8,0,126,22,28,136,37,33,17,4,8,19
ENSG00000226440.7,0,0,0,0,0,0,0,44,5,0,15,36
ENSG00000230679.1,14,36,0,34,28,46,11,4,0,15,0,27
ENSG00000063322.13,1913,2464,786,1960,3330,4873,2010,801,768,1923,651,1449
ENSG00000213908.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163946.13,2767,7242,5465,6044,10164,15428,7783,4631,5115,5394,4700,6662
ENSG00000253712.1,0,0,0,0,0,0,0,7,0,0,0,32
ENSG00000227986.1,131,284,139,107,195,139,214,150,311,239,132,409
ENSG00000251235.3,59,29,12,127,115,92,23,73,28,83,19,58
ENSG00000253048.1,5,7,2,0,10,2,6,6,10,1,5,2
ENSG00000223374.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272447.1,122,571,243,699,668,897,692,138,523,607,188,205
ENSG00000239810.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000253728.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224949.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275964.1,93,222,95,287,395,748,365,66,20,390,44,205
ENSG00000283393.1,0,58,23,127,210,0,66,38,26,78,0,0
ENSG00000256378.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000106089.11,1838,213,2515,2671,2961,416,1548,829,1247,2132,643,2047
ENSG00000279366.1,20,33,8,28,29,30,26,20,43,17,11,39
ENSG00000186881.3,2,0,0,0,0,0,2,0,0,0,0,3
ENSG00000281159.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270614.1,0,7,12,2,1,0,5,25,8,3,7,2
ENSG00000238317.2,27,14,4,65,57,25,18,11,9,20,7,19
ENSG00000248409.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174460.3,325,289,688,0,8,407,924,298,697,137,296,83
ENSG00000250169.1,1,0,0,0,0,0,0,3,2,5,2,7
ENSG00000280039.1,19,97,7,0,11,25,102,31,51,3,35,19
ENSG00000146530.12,130,11,8810,46,773,195,29,316,17,46,12,54
ENSG00000207191.1,8,31,6,14,18,14,10,12,14,26,8,24
ENSG00000225620.1,0,4,0,0,3,0,0,0,0,0,0,0
ENSG00000198056.13,825,1919,522,6181,6677,3266,1485,1086,1155,2821,1110,2101
ENSG00000207630.1,0,3,1,9,2,0,3,6,2,0,5,4
ENSG00000250237.1,24,7,9,0,0,76,0,17,0,0,0,14
ENSG00000201095.1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000250561.2,3,0,0,2,0,0,0,3,0,0,3,1
ENSG00000056998.19,433,438,168,243,1083,1121,242,255,318,368,289,956
ENSG00000022840.15,3759,4818,2762,3533,3753,5754,4094,2242,2480,3551,2423,4074
ENSG00000203819.6,722,703,331,2105,1987,1971,658,308,444,744,615,815
ENSG00000253603.1,0,19,0,8,13,0,8,4,3,19,0,10
ENSG00000279358.1,17,23,149,0,0,57,156,90,28,21,129,18
ENSG00000264897.1,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000233456.1,0,0,0,0,2,11,0,2,0,0,0,2
ENSG00000228751.1,15,0,0,0,0,0,0,9,0,0,8,3
ENSG00000112514.15,990,1168,492,2415,2375,2283,714,421,649,1747,325,1429
ENSG00000044115.20,8675,4708,6113,10158,7758,35614,6817,4858,3324,4317,3255,7448
ENSG00000241673.1,0,0,0,0,0,0,0,0,0,0,0,3
ENSG00000282639.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000253580.1,10,0,5,1,0,0,0,17,3,0,3,19
ENSG00000258065.1,18,0,0,0,11,0,0,4,3,0,5,0
ENSG00000179344.16,13,0,0,0,0,0,0,18,0,0,0,0
ENSG00000078269.14,166,54,64,172,269,578,232,190,4305,205,202,214
ENSG00000108773.10,2198,3956,1250,4850,5793,3987,2904,572,1123,4325,819,2906
ENSG00000229833.9,940,609,428,2202,2108,2643,826,700,599,1445,586,1899
ENSG00000284518.1,1,1,3,6,5,3,1,2,4,2,2,6
ENSG00000258516.1,0,0,0,0,0,0,0,5,0,0,0,0
ENSG00000189369.8,7,1112,480,234,1414,1159,869,771,1852,1243,873,1326
ENSG00000125245.12,5,0,1,0,0,0,0,21,0,0,1,6
ENSG00000225514.1,0,0,0,0,0,0,0,10,9,0,6,0
ENSG00000172340.14,479,440,192,3926,3001,3543,1263,540,49,1864,621,604
ENSG00000268754.2,0,0,0,0,0,4,0,4,1,0,0,0
ENSG00000271737.1,9,96,17,76,214,205,74,8,37,77,11,91
ENSG00000106066.14,622,76,0,1931,297,3716,358,472,84,16,25,158
ENSG00000284934.1,9,33,18,12,9,52,20,5,3,1,21,65
ENSG00000257604.1,9,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162073.13,144,2286,789,1971,1711,1511,1436,705,1326,2454,1048,821
ENSG00000271195.1,0,0,0,0,0,0,0,0,3,0,0,0
ENSG00000207069.1,0,0,0,0,0,2,0,0,0,0,0,0
ENSG00000228019.1,0,0,0,0,0,0,0,4,0,0,0,0
ENSG00000136160.15,2224,0,175,0,11,5377,1582,1407,3,41,11,49
ENSG00000248415.1,14,13,42,50,50,73,24,5,11,40,28,18
ENSG00000196123.12,2556,3858,4569,2423,3716,4473,7731,2156,3960,3887,2286,6010
ENSG00000250668.1,3,0,0,0,0,0,0,7,3,0,0,0
ENSG00000215267.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258417.3,0,0,0,0,0,0,0,0,0,0,0,3
ENSG00000232947.1,5,0,0,0,0,0,0,6,7,0,0,7
ENSG00000266168.1,0,5,0,0,0,0,0,0,0,0,0,4
ENSG00000260735.2,15,31,5,20,25,29,7,33,20,8,11,16
ENSG00000272755.1,6,8,0,0,0,2,13,19,6,4,18,50
ENSG00000214562.14,72,240,277,57,194,270,261,146,267,143,145,144
ENSG00000236257.1,5,7,6,13,25,36,6,29,9,6,19,28
ENSG00000254872.3,8,3,1,1,3,23,41,27,2,0,0,5
ENSG00000176219.3,1,0,0,0,0,0,0,6,5,0,0,17
ENSG00000283141.1,21,144,25,48,10,6,22,9,27,10,18,7
ENSG00000260828.1,0,0,0,0,0,0,0,4,3,0,0,1
ENSG00000211653.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230010.1,0,0,0,0,0,0,0,31,14,0,7,23
ENSG00000249875.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226671.1,4,0,0,0,0,1,0,5,2,0,2,7
ENSG00000274031.1,21,26,23,10,36,25,15,37,21,19,11,18
ENSG00000201085.1,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000165509.13,12,211,0,0,0,4,14,21,8,0,0,5
ENSG00000270562.1,17,210,10,12,28,25,32,56,9,15,23,87
ENSG00000237662.1,0,0,0,0,0,0,0,0,0,0,3,0
ENSG00000221855.1,2,0,0,0,0,0,2,2,0,2,0,3
ENSG00000238908.1,5,0,3,0,3,0,1,5,5,0,5,9
ENSG00000201500.1,0,6,0,1,0,0,2,23,3,2,5,3
ENSG00000104435.13,14813,16362,19378,8209,12074,6476,25391,862,5632,58989,6587,1014
ENSG00000260578.1,5,2,16,5,0,39,28,24,56,5,1,12
ENSG00000242853.3,20,35,9,7,15,10,0,5,3,9,13,5
ENSG00000120784.16,1190,3870,2316,2331,3879,5161,1403,220,2574,3270,454,2636
ENSG00000161204.11,1748,2352,720,2757,4347,2904,1284,1005,973,1554,931,2156
ENSG00000206758.1,0,0,0,0,1,0,0,0,0,0,0,4
ENSG00000109471.4,0,0,0,0,0,0,0,5,0,0,4,6
ENSG00000242285.1,29,8,0,0,7,0,3,15,0,0,0,17
ENSG00000066185.12,9,18,0,19,60,169,37,8,16,4,26,100
ENSG00000275453.2,2,2,1,0,1,3,1,5,0,2,5,1
ENSG00000080503.23,5178,7541,8599,5237,14290,11495,12079,1706,2800,5517,5992,2744
ENSG00000227454.2,0,0,3,1,0,1,3,0,0,1,0,3
ENSG00000226706.1,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165699.14,3315,9959,3839,3868,6578,3948,5386,928,8179,5548,1322,1632
ENSG00000284676.1,5,0,0,0,0,0,0,11,0,3,0,0
ENSG00000238010.1,0,0,0,0,0,0,0,0,0,0,22,0
ENSG00000229263.1,0,0,0,0,0,0,0,3,0,0,0,3
ENSG00000254305.1,2,1,0,2,9,0,1,13,1,12,5,5
ENSG00000221849.2,0,0,0,0,0,0,0,5,5,0,3,0
ENSG00000247911.3,0,0,0,0,1,0,1,1,1,0,1,2
ENSG00000117614.9,3410,1907,1534,6173,9610,5773,2846,1614,1742,4164,1390,1606
ENSG00000162980.16,5857,2662,2173,11004,13315,8555,4473,3280,3314,6831,2631,7664
ENSG00000101596.15,6689,13965,6314,13751,20584,14360,11691,6218,15386,11406,7230,9924
ENSG00000269516.6,0,0,0,0,0,0,0,19,0,0,0,0
ENSG00000200756.1,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000183722.7,337,119,51,254,13,1050,961,182,322,58,225,948
ENSG00000227115.7,64,0,380,21,5,62,100,339,56,2,43,80
ENSG00000229251.3,950,970,439,3203,3271,1925,835,766,309,1755,502,777
ENSG00000188747.8,0,409,0,0,20,0,421,19,0,33,69,127
ENSG00000253736.1,4,0,0,0,0,0,0,0,0,3,0,2
ENSG00000226836.5,0,0,0,0,0,0,0,7,0,0,0,0
ENSG00000223088.1,0,0,0,0,0,0,0,1,0,3,0,0
ENSG00000284024.2,2274,2038,1219,5157,3597,3822,2207,1477,1903,3836,3079,3457
ENSG00000252890.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283978.1,0,0,0,0,0,0,0,0,0,0,0,3
ENSG00000226641.1,0,0,3,2,3,0,1,2,0,3,0,3
ENSG00000273199.1,7,21,3,73,15,15,16,0,3,3,7,21
ENSG00000135842.16,2155,153,44,175,27,6370,284,245,65,68,319,67
ENSG00000226081.2,39,24,15,13,15,6,14,33,10,41,42,11
ENSG00000121022.13,2941,2334,1391,3529,6792,4502,2628,1310,797,2906,1654,3492
ENSG00000110721.11,1380,2655,1001,2951,2894,8394,1308,732,1535,1974,2086,1625
ENSG00000221043.2,0,0,0,0,0,0,0,4,1,2,3,0
ENSG00000222652.1,0,0,0,2,0,0,0,0,0,0,2,2
ENSG00000234758.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241439.1,0,0,0,0,5,2,0,4,0,0,0,2
ENSG00000283980.1,3,3,3,0,0,0,7,7,0,0,0,14
ENSG00000256072.1,0,0,0,0,0,0,0,1,0,0,0,1
ENSG00000163220.10,0,0,0,0,0,0,69,0,0,0,0,0
ENSG00000161643.12,2,0,0,0,0,0,0,7,5,0,0,0
ENSG00000251338.1,7,0,0,0,0,2,0,2,5,1,0,3
ENSG00000227256.1,9,33,3,19,21,15,0,0,13,8,9,20
ENSG00000229358.3,206,463,285,382,393,625,615,274,340,154,20,501
ENSG00000274562.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177054.13,1142,1714,1096,1343,1451,2936,1440,778,203,990,267,16
ENSG00000281379.2,2,8,3,6,2,2,3,2,4,5,2,2
ENSG00000228868.3,5,0,0,0,0,0,0,18,0,0,5,0
ENSG00000252400.1,2,0,0,0,0,0,0,1,0,0,2,0
ENSG00000244056.3,5,3,2,4,0,1,12,5,7,1,3,2
ENSG00000234513.1,58,34,15,144,245,165,58,19,14,110,11,52
ENSG00000120158.11,1701,1717,993,4337,4356,3177,1050,420,569,2976,586,1789
ENSG00000249230.1,2,0,2,2,3,0,0,1,1,1,0,1
ENSG00000179603.17,272,17416,794,559,207,1351,664,468,3873,5234,7535,537
ENSG00000250895.1,6,0,0,0,1,3,0,6,4,6,9,12
ENSG00000252581.1,3,0,0,0,0,0,0,5,0,0,0,2
ENSG00000030110.12,378,366,190,1088,1087,1450,406,220,146,543,150,338
ENSG00000211979.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163002.12,1245,1304,752,3081,2805,2324,1212,1011,892,1789,1084,1235
ENSG00000232999.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234521.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000129925.10,966,1716,806,575,1293,2115,900,238,632,794,589,1269
ENSG00000179950.13,3475,2147,1622,4663,5249,9365,2865,1819,1025,3029,922,4787
ENSG00000161551.14,1367,1852,793,1220,2599,2075,1851,787,564,2034,880,1975
ENSG00000187889.12,7,0,0,0,0,5,0,29,0,0,8,709
ENSG00000219626.8,526,1315,649,538,1562,1267,2166,507,697,632,543,1403
ENSG00000233589.1,5,0,0,0,0,0,0,6,0,0,0,8
ENSG00000258104.1,3,3,0,0,2,0,3,8,6,2,1,0
ENSG00000229731.1,0,0,0,0,0,0,0,0,0,0,0,14
ENSG00000180662.8,6,2,2,3,14,5,1,24,1,3,4,4
ENSG00000047346.12,1512,2845,1422,653,1901,5592,5573,1586,3341,2213,2285,2401
ENSG00000261058.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235126.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229079.1,4,0,4,0,0,0,0,2,3,0,3,1
ENSG00000264954.1,11,0,0,4,0,0,0,40,7,0,0,18
ENSG00000214434.2,14,7,10,5,7,17,7,3,3,11,5,8
ENSG00000086717.18,404,7,39,3169,963,137,15,17,45,22,6,905
ENSG00000248713.1,71,3,185,23986,35,35,7,83,23,0,31,39
ENSG00000233595.2,2,0,0,0,0,0,0,9,0,0,2,0
ENSG00000229725.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223281.1,4,0,0,0,0,0,0,4,0,0,1,0
ENSG00000149651.3,0,0,0,0,0,0,0,0,0,0,0,3
ENSG00000249761.1,2,0,2,0,0,0,0,3,2,1,3,5
ENSG00000156587.15,570,1756,1233,400,1076,5745,2430,772,648,937,616,8
ENSG00000279061.1,2,0,0,1,0,0,0,11,0,0,0,12
ENSG00000173540.12,373,2171,436,1157,1384,2046,881,456,733,815,558,1854
ENSG00000285498.1,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000128833.12,406,805,48,1127,207,2249,1125,352,457,29,68,44
ENSG00000180803.3,0,0,0,0,0,0,0,5,0,0,0,2
ENSG00000229994.1,497,227,243,1504,2133,618,428,270,149,754,196,450
ENSG00000236638.1,0,0,0,0,0,0,0,1,2,0,0,0
ENSG00000259136.1,1,0,0,0,1,0,0,6,4,1,3,4
ENSG00000237233.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215760.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224729.5,33,6,31,0,0,0,78,82,33,0,13,52
ENSG00000240198.5,0,0,0,0,0,0,0,5,0,0,0,0
ENSG00000261570.1,3,0,5,0,0,0,0,3,0,0,7,0
ENSG00000233259.4,3,0,0,0,0,0,0,8,0,0,1,0
ENSG00000237592.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238551.1,0,2,1,0,0,1,1,1,1,1,1,1
ENSG00000243135.6,3,0,0,3,0,0,0,2,0,0,0,5
ENSG00000117399.13,3608,3127,651,3476,4376,4988,1579,1163,907,2870,1077,1133
ENSG00000256512.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224735.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265544.1,0,0,0,0,0,0,0,2,3,7,7,2
ENSG00000120278.16,262,33,2,0,9,92,167,150,37,3,204,36
ENSG00000201184.1,3,7,0,2,3,2,7,2,7,2,2,8
ENSG00000249207.1,13,0,0,0,0,0,0,5,0,0,0,6
ENSG00000254671.2,0,0,0,0,13,0,0,0,0,0,0,0
ENSG00000172179.11,9,570,890,732,217,146,5,91,1945,941,184,13166
ENSG00000214338.10,286,252,577,480,389,391,424,675,435,272,450,391
ENSG00000137634.9,3,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250302.1,0,0,0,0,0,0,2,0,0,0,0,0
ENSG00000229498.1,13,0,0,0,33,0,0,23,0,0,16,10
ENSG00000252837.1,3,9,1,0,0,0,1,8,2,2,0,11
ENSG00000196475.5,5,0,6,0,0,0,0,38,14,0,13,11
ENSG00000207293.1,34,0,442,5,11,12,0,9,42,144,46,58
ENSG00000138496.16,747,0,166,23,18,3564,775,130,42,5,34,24
ENSG00000268964.1,0,0,0,0,0,0,12,10,0,0,0,38
ENSG00000129744.2,0,0,2,4,0,0,0,12,0,0,13,0
ENSG00000141665.11,110,550,17,29,42,111,206,98,125,8,333,240
ENSG00000244130.1,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000100865.14,716,818,579,1616,1444,1540,931,577,741,958,628,963
ENSG00000115252.18,1869,697,745,10,18,6710,3277,208,202,91,337,17
ENSG00000237483.1,0,0,5,0,0,0,0,0,0,1,0,0
